nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000001	Fred Astaire	1899	1987	soundtrack,actor,miscellaneous	tt0050419,tt0072308,tt0053137,tt0027125
nm0000002	Lauren Bacall	1924	2014	actress,soundtrack	tt0075213,tt0117057,tt0037382,tt0038355
nm0000003	Brigitte Bardot	1934	\N	actress,soundtrack,music_department	tt0057345,tt0049189,tt0056404,tt0054452
nm0000004	John Belushi	1949	1982	actor,soundtrack,writer	tt0078723,tt0072562,tt0077975,tt0080455
nm0000005	Ingmar Bergman	1918	2007	writer,director,actor	tt0050976,tt0069467,tt0083922,tt0050986
nm0000006	Ingrid Bergman	1915	1982	actress,soundtrack,producer	tt0038109,tt0036855,tt0038787,tt0034583
nm0000007	Humphrey Bogart	1899	1957	actor,soundtrack,producer	tt0042593,tt0034583,tt0037382,tt0043265
nm0000008	Marlon Brando	1924	2004	actor,soundtrack,director	tt0047296,tt0070849,tt0068646,tt0078788
nm0000009	Richard Burton	1925	1984	actor,soundtrack,producer	tt0061184,tt0057877,tt0087803,tt0059749
nm0000010	James Cagney	1899	1986	actor,soundtrack,director	tt0042041,tt0035575,tt0029870,tt0031867
